Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"406","Unassigned","Central Depository Services (India) Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"447","Unassigned","Central Mine Planning & Design Institute Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"416","Unassigned","Centrum Capital Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"417","Unassigned","Centum Electronics Limited","https://centumelectronics.com","readymade-fallback","HIGH","NO","N/A","info@centumelectronics.com","[General Contact Email (Guessed Pattern)] info@centumelectronics.com; [Investor Grievance Email (Guessed Pattern)] contact@centumelectronics.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"413","Unassigned","Century Enka Limited","https://centuryenka.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"414","Unassigned","Century Extrusions Limited","https://centuryextrusions.com","readymade-fallback","HIGH","NO","N/A","enquiry@centuryextrusions.com","[Investor Grievance / Compliance Officer Email] info@centuryextrusions.com; [General Contact Email] enquiry@centuryextrusions.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 15. Lighthouse A11y: 40/100."
"418","Unassigned","Century Plyboards (India) Limited","https://centuryply.com","readymade-fallback","HIGH","NO","N/A","email@email.com","[General Contact Email] email@email.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 20. Lighthouse A11y: 30/100."
"419","Unassigned","Cera Sanitaryware Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"420","Unassigned","Cerebra Integrated Technologies Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"425","Unassigned","Chalet Hotels Limited","https://chalethotels.com","readymade-fallback","HIGH","NO","N/A","info@chalethotels.com","[General Contact Email (Guessed Pattern)] info@chalethotels.com; [Investor Grievance Email (Guessed Pattern)] contact@chalethotels.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"445","Unassigned","Chaman Lal Setia Exports Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"426","Unassigned","Chambal Fertilizers & Chemicals Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"428","Unassigned","Chembond Chemicals Limited","https://chembondindia.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"427","Unassigned","Chembond Material Technologies Limited","https://chembondmatech.com","readymade-fallback","HIGH","NO","N/A","info@chembondmatech.com","[General Contact Email] info@chembondmatech.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 6. Lighthouse A11y: 76/100."
"429","Unassigned","Chemcon Speciality Chemicals Limited","https://cscpl.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"430","Unassigned","Chemfab Alkalis Limited","https://chemfabalkalis.com","readymade-fallback","HIGH","NO","N/A","ccalpvcomktg@drraoholdings.com","[Investor Grievance / Compliance Officer Email] corporate@ccal.in; [General Contact Email] ccalpvcomktg@drraoholdings.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 42. Lighthouse A11y: 30/100."
"431","Unassigned","Chemplast Sanmar Limited","https://chemplastsanmar.com","readymade-fallback","HIGH","NO","N/A","info@chemplastsanmar.com","[General Contact Email (Guessed Pattern)] info@chemplastsanmar.com; [Investor Grievance Email (Guessed Pattern)] contact@chemplastsanmar.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 12. Lighthouse A11y: 52/100."
"432","Unassigned","Chennai Petroleum Corporation Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"433","Unassigned","Cheviot Company Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"434","Unassigned","Choice International Limited","https://choiceagencyins.com","readymade-fallback","HIGH","NO","N/A","info@choiceagencyins.com","[General Contact Email (Guessed Pattern)] info@choiceagencyins.com; [Investor Grievance Email (Guessed Pattern)] contact@choiceagencyins.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"436","Unassigned","Cholamandalam Financial Holdings Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"435","Unassigned","Cholamandalam Investment and Finance Company Limited","https://cholamandalam.com","readymade-fallback","HIGH","NO","N/A","info@cholamandalam.com","[General Contact Email (Guessed Pattern)] info@cholamandalam.com; [Investor Grievance Email (Guessed Pattern)] contact@cholamandalam.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"439","Unassigned","Cineline India Limited","https://cineline.pl","readymade-fallback","HIGH","NO","N/A","office@cineline.pl","[General Contact Email] office@cineline.pl","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"440","Unassigned","Cinevista Limited","https://cinevistablog.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"441","Unassigned","Cipla Limited","https://cipla.com","readymade-fallback","HIGH","NO","N/A","info@cipla.com","[General Contact Email (Guessed Pattern)] info@cipla.com; [Investor Grievance Email (Guessed Pattern)] contact@cipla.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 14. Lighthouse A11y: 44/100."
"492","Unassigned","City Union Bank Limited","https://cityunionbank.com","readymade-fallback","HIGH","NO","N/A","customercare@cityunionbank.in","[General Contact Email] customercare@cityunionbank.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 38. Lighthouse A11y: 30/100."
"443","Unassigned","Clean Max Enviro Energy Solutions Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"442","Unassigned","Clean Science and Technology Limited","https://cleanscience.co.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"451","Unassigned","Coal India Limited","https://coalindia.in","readymade-fallback","HIGH","NO","N/A","info@coalindia.in","[General Contact Email (Guessed Pattern)] info@coalindia.in; [Investor Grievance Email (Guessed Pattern)] contact@coalindia.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"452","Unassigned","Coastal Corporation Limited","https://coastal24.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"453","Unassigned","Cochin Shipyard Limited","https://cochinshipyard.in","readymade-fallback","HIGH","NO","N/A","nagesh.krishnamoorthy@cochinshipyard.in","[Investor Grievance / Compliance Officer Email] investor.helpdesk@in.mpms.mufg.com; [General Contact Email] nagesh.krishnamoorthy@cochinshipyard.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 3. Lighthouse A11y: 88/100."
"455","Unassigned","Coffee Day Enterprises Limited","https://coffeedays.net","readymade-fallback","HIGH","NO","N/A","info@coffeedays.net","[General Contact Email (Guessed Pattern)] info@coffeedays.net; [Investor Grievance Email (Guessed Pattern)] contact@coffeedays.net","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 40. Lighthouse A11y: 30/100."
"456","Unassigned","Coforge Limited","https://coforge.com","readymade-fallback","HIGH","NO","N/A","info@coforge.com","[General Contact Email (Guessed Pattern)] info@coforge.com; [Investor Grievance Email (Guessed Pattern)] contact@coforge.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 26. Lighthouse A11y: 30/100."
"457","Unassigned","Cohance Lifesciences Limited","https://cohance.com","readymade-fallback","HIGH","NO","N/A","info@cohance.com","[General Contact Email (Guessed Pattern)] info@cohance.com; [Investor Grievance Email (Guessed Pattern)] contact@cohance.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"458","Unassigned","Colgate Palmolive (India) Limited","https://colgatepalmolive.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (akamai)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (akamai)"
"459","Unassigned","Comfort Intech Limited","https://comfortintech.com","readymade-fallback","HIGH","NO","N/A","info@comfortintech.com","[General Contact Email (Guessed Pattern)] info@comfortintech.com; [Investor Grievance Email (Guessed Pattern)] contact@comfortintech.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"462","Unassigned","Commercial Syn Bags Limited","https://comsyn.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"460","Unassigned","Compuage Infocom Limited","https://compuageindia.com","readymade-fallback","HIGH","NO","N/A","info@compuageindia.com","[General Contact Email (Guessed Pattern)] info@compuageindia.com; [Investor Grievance Email (Guessed Pattern)] contact@compuageindia.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"461","Unassigned","Compucom Software Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"386","Unassigned","Computer Age Management Services Limited","https://camsonline.com","readymade-fallback","HIGH","NO","N/A","info@camsonline.com","[General Contact Email (Guessed Pattern)] info@camsonline.com; [Investor Grievance Email (Guessed Pattern)] contact@camsonline.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"464","Unassigned","Concord Biotech Limited","https://concordbiotech.com","readymade-fallback","HIGH","NO","N/A","info@concordbiotech.com","[General Contact Email (Guessed Pattern)] info@concordbiotech.com; [Investor Grievance Email (Guessed Pattern)] contact@concordbiotech.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"422","Unassigned","Concord Enviro Systems Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"465","Unassigned","Confidence Petroleum India Limited","https://confidencegroup.co","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"403","Unassigned","Consolidated Construction Consortium Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"466","Unassigned","Consolidated Finvest & Holdings Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"463","Unassigned","Container Corporation of India Limited","https://containerofamerica.com","readymade-fallback","HIGH","NO","N/A","info@ContainerofAmerica.com","[General Contact Email] info@ContainerofAmerica.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 3. Lighthouse A11y: 88/100."
"467","Unassigned","Control Print Limited","https://controlprint.com","readymade-fallback","HIGH","NO","N/A","sales@controlprint.com","[General Contact Email] sales@controlprint.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 20. Lighthouse A11y: 30/100."
"468","Unassigned","Coral India Finance & Housing Limited","https://coralhousing.in","readymade-fallback","HIGH","NO","N/A","info@coralhousing.in","[General Contact Email (Guessed Pattern)] info@coralhousing.in; [Investor Grievance Email (Guessed Pattern)] contact@coralhousing.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"470","Unassigned","Cords Cable Industries Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"471","Unassigned","Coromandel International Limited","https://coromandel.biz","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"404","Unassigned","Country Club Hospitality & Holidays Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"474","Unassigned","Country Condo's Limited","https://countrycondos.co.in","readymade-fallback","HIGH","NO","N/A","info@countrycondos.co.in","[Investor Grievance / Compliance Officer Email] info@countrycondos.co.in; [General Contact Email] info@countrycondos.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 53. Lighthouse A11y: 30/100."
"479","Unassigned","Craftsman Automation Limited","https://craftsmanautomation.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"481","Unassigned","Creative Eye Limited","https://creativeeye.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"450","Unassigned","Creative Newtech Limited","https://creativenewtech.com","readymade-fallback","HIGH","NO","N/A","info@creativenewtech.com","[General Contact Email (Guessed Pattern)] info@creativenewtech.com; [Investor Grievance Email (Guessed Pattern)] contact@creativenewtech.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"483","Unassigned","Crest Ventures Limited","https://crest.co.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"484","Unassigned","Crisil Limited","https://crisil.com","readymade-fallback","HIGH","NO","N/A","info@crisil.com","[General Contact Email (Guessed Pattern)] info@crisil.com; [Investor Grievance Email (Guessed Pattern)] contact@crisil.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 24. Lighthouse A11y: 30/100."
"485","Unassigned","Crizac Limited","https://crizacglobal.com","readymade-fallback","HIGH","NO","N/A","info@crizac.com","[Investor Grievance / Compliance Officer Email] info@crizac.com; [General Contact Email] info@crizac.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"486","Unassigned","Crompton Greaves Consumer Electricals Limited","https://crompton.co.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"487","Unassigned","Crown Lifters Limited","https://crownlifters.com","readymade-fallback","HIGH","NO","N/A","info@crownlifters.com","[General Contact Email (Guessed Pattern)] info@crownlifters.com; [Investor Grievance Email (Guessed Pattern)] contact@crownlifters.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"493","Unassigned","Cubex Tubings Limited","https://cubextubings.com","readymade-fallback","HIGH","NO","N/A","info@cubextubings.com","[General Contact Email] info@cubextubings.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"494","Unassigned","Cummins India Limited","https://cummins.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"495","Unassigned","Cupid Limited","https://cupidlimited.com","readymade-fallback","HIGH","NO","N/A","info@cupidlimited.com","[General Contact Email] info@cupidlimited.com","Verified","Yes","Yes","None","No","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 13. Lighthouse A11y: 48/100."
"496","Unassigned","Cura Technologies Limited","https://curaleaf.com","readymade-fallback","HIGH","NO","N/A","name@email.com","[General Contact Email] name@email.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"497","Unassigned","Cyber Media (India) Limited","https://cybermedia.com.tw","readymade-fallback","HIGH","NO","N/A","#","[General Contact Email] #","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 57. Lighthouse A11y: 30/100."
"498","Unassigned","Cybertech Systems And Software Limited","https://geocivic.in","readymade-fallback","HIGH","NO","N/A","info@geocivic.in","[General Contact Email (Guessed Pattern)] info@geocivic.in; [Investor Grievance Email (Guessed Pattern)] contact@geocivic.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"500","Unassigned","Cyient DLM Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"499","Unassigned","Cyient Limited","https://cyient.com","readymade-fallback","HIGH","NO","N/A","info@cyient.com","[General Contact Email (Guessed Pattern)] info@cyient.com; [Investor Grievance Email (Guessed Pattern)] contact@cyient.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"516","Unassigned","DB (International) Stock Brokers Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"518","Unassigned","DCB Bank Limited","https://dcbbank.com","readymade-fallback","HIGH","NO","N/A","customercare@dcb.bank.in","[General Contact Email] customercare@dcb.bank.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"521","Unassigned","DCM Financial Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"522","Unassigned","DCM Nouvelle Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"587","Unassigned","DCM Shriram Fine Chemicals Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"525","Unassigned","DCM Shriram Industries Limited","https://dcmshriramdefence.com","readymade-fallback","HIGH","NO","N/A","eps@dcmsil.com","[General Contact Email] eps@dcmsil.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 13. Lighthouse A11y: 48/100."
"524","Unassigned","DCM Shriram International Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"523","Unassigned","DCM Shriram Limited","https://dcmshriram.com","readymade-fallback","HIGH","NO","N/A","info@dcmshriram.com","[General Contact Email (Guessed Pattern)] info@dcmshriram.com; [Investor Grievance Email (Guessed Pattern)] contact@dcmshriram.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"520","Unassigned","DCM  Limited","https://dcmlimited.com","readymade-fallback","HIGH","NO","N/A","info@dcmlimited.com","[General Contact Email (Guessed Pattern)] info@dcmlimited.com; [Investor Grievance Email (Guessed Pattern)] contact@dcmlimited.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"526","Unassigned","DCW Limited","https://dcwater.com","readymade-fallback","HIGH","NO","N/A","info@dcwater.com","[General Contact Email] info@dcwater.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"527","Unassigned","DCX Systems Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
